hour,temp
0,283.0
10,288.0717823222968
20,274.483306916789
30,293.21533220723893
40,274.6268383528784
50,288.3588378162634
60,283.4305647957987
70,278.5022696422154
80,292.2342027073835
90,273.6455981931233
100,292.37746856768405
110,278.7887939982672
120,283.8603329188812
130,288.9318276142438
140,275.34302037134694
150,294.0746696310252
160,275.4857555718552
170,289.2172906780108
180,284.28850917178613
190,279.3596614300714
200,293.0909978331652
210,274.5017526135835
220,293.2329382725371
230,279.6435350124533
240,284.7143013048283
250,289.7849794741286
260,276.19531184935295
270,294.9260569155987
280,276.3361948979596
290,290.0667383293778
300,285.13692148316517
310,280.2069947894754
320,293.937208684115
330,275.3467974573479
340,294.0767736703712
350,280.48611758783323
360,285.5555877456823
370,290.6249265350658
380,277.03387635388754
390,295.763195758372
400,277.1718650469569
410,290.9008968281427
420,285.96952545300894
430,281.0380014316837
440,294.7665752821488
450,276.17448137904177
460,294.9027323701262
470,281.31030860880577
480,286.3779687219684
490,291.44545519388066
500,277.85251051774026
510,296.5798933472354
520,277.9865840804324
530,291.71359542762
540,286.7801618438205
550,281.8465339452537
560,295.57296235813783
570,276.9786815674831
580,295.7047043335596
590,282.110011124404
600,287.1753606836571
610,292.24049561445463
620,278.64515853097004
630,297.3701082099716
640,278.7743251747007
650,292.4988222627105
660,287.56283405837246
670,282.6266113093296
680,296.35040477529463
690,277.7534490768349
700,296.47675711183297
710,282.8793094879868
720,287.94186509064065
730,293.00416666666683
740,279.4059569760035
750,298.12799494320205
760,279.5292612412992
770,293.2507688596477
780,288.311752536414
790,283.37246317502564
800,297.0931516929591
810,278.4930528705184
820,297.2131797672866
830,283.61251315461743
840,288.6718120834589
850,293.7308194682251
860,280.1292782383266
870,298.8479474897083
880,280.24580806871313
890,293.9638731399036
900,289.0213776185507
910,284.0785725870721
920,297.7957091438105
930,279.1920222518031
940,297.90852515522414
950,284.3041988118671
960,289.35980246095613
970,294.41507920701366
980,280.8097721713744
990,299.5246406437186
1000,280.91866566592313
1010,294.6328605998737
1020,289.6864605599436
1030,284.7397168294212
1040,298.45288070927876
1050,279.84518736693104
1060,298.5576502526671
1070,284.94925053212165
1080,290.00074765407805
1090,295.05188493432075
1100,281.4424057071433
1110,300.153069476868
1120,281.5428575016853
1130,295.252783361456
1140,290.30208239018054
1150,285.35100609241016
1160,299.0598059920111
1170,280.4477174809054
1180,299.1557542354952
1190,285.5428976491215
1200,290.5899073998536
1210,295.6365270343334
1220,282.02250011926725
1230,300.72858639293685
1240,282.1137673490257
1250,295.8190568044088
1260,290.8636903316096
1270,285.90791967520016
1280,299.6119966005513
1290,280.9951567425623
1300,299.69841402207186
1310,286.0807500783047
1320,291.12292483664845
1330,296.1646820924848
1340,282.54576566266906
1350,301.2469355370276
1360,282.6271734621719
1370,296.32749350927514
1380,291.3671315065156
1390,286.4063394554645
1400,300.10536937982175
1410,281.4834571741338
1420,300.18161702019006
1430,286.5588308194566
1440,291.59585876083975
1450,296.6324449045027
1460,283.0083333333331
1470,301.704284304425
1480,283.0792798328805
1490,296.7743342595715
1500,291.80868368357136
1510,286.8425803785245
1520,300.5362766413739
1530,281.9090086410591
1540,300.60179083490294
1550,286.9736054010293
1560,292.00521280611105
1570,297.0363573891766
1580,283.40678351305723
1590,302.09725171586075
1600,283.4667442947541
1610,297.1562758737127
1620,292.1850828359367
1630,287.2134177402073
1640,300.90153316959754
1650,282.26866558015763
1660,300.95582971728544
1670,287.32200804812993
1680,292.3479613293248
1690,297.37343419077865
1700,283.7381712871095
1710,302.42293344910104
1720,283.7867032674721
1730,297.4704956606099
1740,292.4935473069713
1750,287.5161110614244
1760,301.1984398039432
1770,282.5597702882786
1780,301.241117558313
1790,287.60146438044853
1800,292.62157181132557
1810,297.6411847815965
1820,284.00004824734646
1830,302.67892334153225
1840,284.03679295773776
1850,297.7146723178901
1860,292.7317984046476
1870,287.74842437772173
1880,301.4248034225619
1890,282.7801725990047
1900,301.455547257617
1910,287.80991047206686
1920,292.82402360682494
1930,297.83763190092645
1940,284.19048061937
1950,302.8633312045469
1960,284.21516685997545
1970,297.88700311800585
1980,292.89807727218715
1990,287.90864279357754
2000,301.57895317941166
2010,282.9282458017326
2020,301.5975363237199
2030,287.9458081320453
2040,292.95382290455586
2050,297.9613261940211
2060,284.3080635795181
2070,302.9747968178392
2080,284.32050942721474
2090,297.9862172549996
2100,292.99115791002447
2110,287.99558517889045
2120,301.65975287461896
2130,283.00289868526886
2140,301.6660385902469
2150,288.0081562926479
2160,293.0100137869221
2170,298.0113569426045
2180,284.35193165568523
2190,303.0125
2200,284.3520458109373
2210,298.0115852531062
2220,293.0103562526762
2230,288.0086129136509
2240,301.6666093665035
2250,283.0035836167757
2260,301.6605519613766
2270,287.99649842090116
2280,292.9921853072829
2290,297.9873588075116
2300,284.32176513497694
2310,302.9761666808529
2320,284.3095475977838
2330,297.9629243675365
2340,292.95553523332364
2350,287.9476346160619
2360,301.5994769629902
2370,282.9303005962531
2380,301.581122129183
2390,287.9109258986019
2400,292.9004745324593
2410,297.8895145335316
2420,284.2177924307514
2430,302.8660709305743
2440,284.1933345006495
2450,297.8405999374556
2460,292.827105798607
2470,287.81310681909775
2480,301.45885775990104
2490,282.78359725653894
2500,301.4283422353467
2510,287.7520773457594
2520,292.73556552793343
2530,297.71855359642956
2540,284.0407883915271
2550,302.68303293057335
2560,284.0042719916393
2570,297.6455226811383
2580,292.62602386612076
2590,287.6060305904931
2600,301.24579792361044
2610,282.56456480882656
2620,301.2033484797419
2630,287.52113389247575
2640,292.4986842932714
2650,297.475746802164
2660,283.7920685642754
2670,302.42841290115587
2680,283.7437648944161
2690,297.37914195333417
2700,292.3537832471338
2710,287.32794412118824
2720,300.96187994559665
2730,282.2748299637193
2740,300.90781170841
2750,287.21981043427235
2760,292.19158968525056
2770,297.1628968782805
2780,283.47347945457113
2790,302.10410103092926
2800,283.41374698337756
2810,297.0434350147458
2820,292.0124045869337
2830,286.9809113371013
2840,300.6092109262278
2850,281.9165428876344
2860,300.54392504320003
2870,286.8503429356032
2880,291.8165603958989
2890,296.782325127153
2900,283.0873848557112
2910,301.7125034825072
2920,283.01666666666705
2930,296.64089239308606
2940,291.6044204046772
2950,286.5675066185428
2960,300.1904069745286
2970,281.4923612837228
2980,300.114387644661
2990,286.4154718755564
3000,291.3763780818568
3010,296.3368542398698
3020,282.63664834801574
3030,301.25652457812345
3040,282.55546885901674
3050,296.17449944408185
3060,291.1328563434996
3070,286.09079574040453
3080,299.7085738394241
3090,281.00543071516506
3100,299.6223847284043
3110,285.9184219583058
3120,290.8743067699645
3130,295.82978739801723
3140,282.12461209788324
3150,300.73954529704645
3160,282.0335731786286
3170,295.6477142489442
3180,290.6012087697185
3190,285.5543131742351
3200,299.16728391586116
3210,280.45936131652184
3220,299.07156398287776
3230,285.36287823852945
3240,290.31406869154915
3250,295.26488381807815
3260,281.55507211355655
3270,300.16539824399126
3280,281.4548486295184
3290,295.06444201194523
3300,290.0134188869561
3310,284.9620359202479
3320,298.5705497960464
3330,279.85820106556116
3340,298.4660085631594
3350,284.7529588385552
3360,289.6998167243265
3370,294.6463309195095
3380,280.9322501408084
3390,299.5383392738556
3400,280.8235849567629
3410,294.4290061476519
3420,289.37384355684816
3430,284.31835406300706
3440,297.92279456161737
3450,279.20640581344696
3460,297.8102068607047
3470,284.0931844592196
3480,289.03610364594726
3490,293.9787133225529
3500,280.26076240661206
3510,298.863015982859
3520,280.14446088672884
3530,293.7461162718772
3540,288.6872230423643
3550,283.6280382687714
3560,297.2288190366933
3570,278.50880629517593
3580,297.10901927286716
3590,283.3884449101868
3600,288.3278484268243
3610,293.2669789053106
3620,279.5455854422118
3630,298.1444332993664
3640,279.42250948741935
3650,293.02083333333263
3660,287.9586459125597
3670,282.8962044651544
3680,296.49376624425395
3690,277.7705723645061
3700,296.36764221821636
3710,282.64396290750443
3720,287.5802998117953
3730,292.51640217138714
3740,278.792019238627
3750,297.38791642914964
3760,278.66308090540014
3770,292.25853214413416
3780,287.1935113685899
3790,282.1282759645854
3800,295.72308332899433
3810,276.997174718168
3820,295.5915696640733
3830,281.8652554064424
3840,286.79899746025734
3850,291.7325451993101
3860,278.00564800737254
3870,296.59907142942717
3880,277.871802755184
3890,291.4648615865741
3900,286.3974892699147
3910,281.3299433120009
3920,294.92248122857393
3930,276.1943443927404
3940,294.78655245109803
3950,281.0580927558857
3960,285.98973093245945
3970,290.9212164628475
3980,277.1922988369102
3990,295.78374370357744
4000,277.0545384543443
4010,290.64570279077293
4020,285.57647815664217
4030,280.5071221540421
4040,294.0978923918332
4050,275.3680303340603
4060,293.95855571607746
4070,280.22845597669215
4080,285.15849682563055
4090,290.0884278270953
4100,276.35799855092716
4110,294.9479747238179
4120,276.21734381282397
4130,289.8071255928487
4140,284.736561578803
4150,279.665909441675
4160,293.25542685701214
4170,274.52435535330955
4180,293.11371472814193
4190,279.3824924803007
4200,284.31145437726417
4210,289.24035003874286
4220,275.50892908783595
4230,294.09795730225807
4240,275.36642219783107
4250,288.95534359597855
4260,283.8839630558683
4270,278.8125382905037
4280,292.4013270151733
4290,273.669570795863
4300,292.25828946537337
4310,278.52647055545935
4320,283.4548798642917
4330,288.3832670400081
4340,274.6513817318734
4350,293.2399897414855
4360,274.5080786062873
4370,288.0966681670443
4380,283.0250000000018
4390,277.9533318329525
4400,291.54192139371446
4410,272.81001025851447
4420,291.3986182681258
4430,277.6667329599931
